========================================================
Contrast_x,y,z=4  25  100
Get kvals from python.
1.04858e+06  6.5536e+06  2.62144e+07  2.62144e+07  2.62144e+07  2621.44  26214.4  262144  262144  262144  2621.44  16384  65536  65536  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=72,	residual=2.490767e+07,	 rhs=6.710937e+10, relative=3.711504e-04.
  itrIdx=73,	residual=2.585602e+07,	 rhs=6.710937e+10, relative=3.852818e-04.
  itrIdx=74,	residual=2.747502e+07,	 rhs=6.710937e+10, relative=4.094066e-04.
  itrIdx=75,	residual=1.921633e+07,	 rhs=6.710937e+10, relative=2.863436e-04.
  itrIdx=76,	residual=1.104435e+07,	 rhs=6.710937e+10, relative=1.645724e-04.
  itrIdx=77,	residual=7.324079e+06,	 rhs=6.710937e+10, relative=1.091365e-04.
  itrIdx=78,	residual=5.585577e+06,	 rhs=6.710937e+10, relative=8.323096e-05.
  itrIdx=79,	residual=4.254774e+06,	 rhs=6.710937e+10, relative=6.340059e-05.
  itrIdx=80,	residual=4.908850e+06,	 rhs=6.710937e+10, relative=7.314702e-05.
  itrIdx=81,	residual=5.824764e+06,	 rhs=6.710937e+10, relative=8.679509e-05.
  itrIdx=82,	residual=7.336712e+06,	 rhs=6.710937e+10, relative=1.093247e-04.
  itrIdx=83,	residual=5.910386e+06,	 rhs=6.710937e+10, relative=8.807095e-05.
  itrIdx=84,	residual=7.791474e+06,	 rhs=6.710937e+10, relative=1.161011e-04.
  itrIdx=85,	residual=7.181141e+06,	 rhs=6.710937e+10, relative=1.070065e-04.
  itrIdx=86,	residual=7.891380e+06,	 rhs=6.710937e+10, relative=1.175898e-04.
  itrIdx=87,	residual=9.697447e+06,	 rhs=6.710937e+10, relative=1.445021e-04.
  itrIdx=88,	residual=1.163795e+07,	 rhs=6.710937e+10, relative=1.734177e-04.
  itrIdx=89,	residual=1.066418e+07,	 rhs=6.710937e+10, relative=1.589074e-04.
  itrIdx=90,	residual=7.341518e+06,	 rhs=6.710937e+10, relative=1.093963e-04.
  itrIdx=91,	residual=6.638791e+06,	 rhs=6.710937e+10, relative=9.892495e-05.
  itrIdx=92,	residual=5.443518e+06,	 rhs=6.710937e+10, relative=8.111414e-05.
  itrIdx=93,	residual=6.598840e+06,	 rhs=6.710937e+10, relative=9.832964e-05.
  itrIdx=94,	residual=8.550619e+06,	 rhs=6.710937e+10, relative=1.274132e-04.
  itrIdx=95,	residual=1.141726e+07,	 rhs=6.710937e+10, relative=1.701291e-04.
  itrIdx=96,	residual=9.452340e+06,	 rhs=6.710937e+10, relative=1.408498e-04.
  itrIdx=97,	residual=7.755984e+06,	 rhs=6.710937e+10, relative=1.155723e-04.
  itrIdx=98,	residual=5.787065e+06,	 rhs=6.710937e+10, relative=8.623334e-05.
  itrIdx=99,	residual=4.024477e+06,	 rhs=6.710937e+10, relative=5.996894e-05.
  itrIdx=100,	residual=3.609167e+06,	 rhs=6.710937e+10, relative=5.378038e-05.
  itrIdx=101,	residual=3.660262e+06,	 rhs=6.710937e+10, relative=5.454174e-05.
  itrIdx=102,	residual=3.224486e+06,	 rhs=6.710937e+10, relative=4.804822e-05.
  itrIdx=103,	residual=2.367448e+06,	 rhs=6.710937e+10, relative=3.527745e-05.
  itrIdx=104,	residual=2.190189e+06,	 rhs=6.710937e+10, relative=3.263611e-05.
  itrIdx=105,	residual=1.997600e+06,	 rhs=6.710937e+10, relative=2.976634e-05.
  itrIdx=106,	residual=2.003490e+06,	 rhs=6.710937e+10, relative=2.985411e-05.
  itrIdx=107,	residual=2.309528e+06,	 rhs=6.710937e+10, relative=3.441439e-05.
  itrIdx=108,	residual=3.954224e+06,	 rhs=6.710937e+10, relative=5.892209e-05.
  itrIdx=109,	residual=5.393865e+06,	 rhs=6.710937e+10, relative=8.037425e-05.
  itrIdx=110,	residual=6.282070e+06,	 rhs=6.710937e+10, relative=9.360944e-05.
  itrIdx=111,	residual=6.568268e+06,	 rhs=6.710937e+10, relative=9.787409e-05.
  itrIdx=112,	residual=5.099693e+06,	 rhs=6.710937e+10, relative=7.599078e-05.
  itrIdx=113,	residual=3.710149e+06,	 rhs=6.710937e+10, relative=5.528511e-05.
  itrIdx=114,	residual=2.919664e+06,	 rhs=6.710937e+10, relative=4.350605e-05.
  itrIdx=115,	residual=2.805729e+06,	 rhs=6.710937e+10, relative=4.180830e-05.
  itrIdx=116,	residual=2.492987e+06,	 rhs=6.710937e+10, relative=3.714813e-05.
  itrIdx=117,	residual=2.344678e+06,	 rhs=6.710937e+10, relative=3.493816e-05.
  itrIdx=118,	residual=2.231256e+06,	 rhs=6.710937e+10, relative=3.324806e-05.
  itrIdx=119,	residual=2.122084e+06,	 rhs=6.710937e+10, relative=3.162129e-05.
  itrIdx=120,	residual=2.008164e+06,	 rhs=6.710937e+10, relative=2.992375e-05.
  itrIdx=121,	residual=2.240138e+06,	 rhs=6.710937e+10, relative=3.338040e-05.
  itrIdx=122,	residual=3.170985e+06,	 rhs=6.710937e+10, relative=4.725100e-05.
  itrIdx=123,	residual=3.911427e+06,	 rhs=6.710937e+10, relative=5.828437e-05.
  itrIdx=124,	residual=5.209390e+06,	 rhs=6.710937e+10, relative=7.762538e-05.
  itrIdx=125,	residual=5.173570e+06,	 rhs=6.710937e+10, relative=7.709163e-05.
  itrIdx=126,	residual=3.264633e+06,	 rhs=6.710937e+10, relative=4.864645e-05.
  itrIdx=127,	residual=2.131823e+06,	 rhs=6.710937e+10, relative=3.176640e-05.
  itrIdx=128,	residual=1.467358e+06,	 rhs=6.710937e+10, relative=2.186518e-05.
  itrIdx=129,	residual=1.421080e+06,	 rhs=6.710937e+10, relative=2.117558e-05.
  itrIdx=130,	residual=1.085174e+06,	 rhs=6.710937e+10, relative=1.617023e-05.
  itrIdx=131,	residual=1.267066e+06,	 rhs=6.710937e+10, relative=1.888061e-05.
  itrIdx=132,	residual=1.288500e+06,	 rhs=6.710937e+10, relative=1.920001e-05.
  itrIdx=133,	residual=1.190403e+06,	 rhs=6.710937e+10, relative=1.773826e-05.
  itrIdx=134,	residual=1.060194e+06,	 rhs=6.710937e+10, relative=1.579801e-05.
  itrIdx=135,	residual=1.281014e+06,	 rhs=6.710937e+10, relative=1.908845e-05.
  itrIdx=136,	residual=1.612906e+06,	 rhs=6.710937e+10, relative=2.403399e-05.
  itrIdx=137,	residual=2.076896e+06,	 rhs=6.710937e+10, relative=3.094793e-05.
  itrIdx=138,	residual=3.226229e+06,	 rhs=6.710937e+10, relative=4.807419e-05.
  itrIdx=139,	residual=3.968280e+06,	 rhs=6.710937e+10, relative=5.913153e-05.
  itrIdx=140,	residual=3.485383e+06,	 rhs=6.710937e+10, relative=5.193587e-05.
  itrIdx=141,	residual=2.346059e+06,	 rhs=6.710937e+10, relative=3.495875e-05.
  itrIdx=142,	residual=1.873597e+06,	 rhs=6.710937e+10, relative=2.791856e-05.
  itrIdx=143,	residual=1.229639e+06,	 rhs=6.710937e+10, relative=1.832291e-05.
  itrIdx=144,	residual=9.213890e+05,	 rhs=6.710937e+10, relative=1.372966e-05.
  itrIdx=145,	residual=8.404197e+05,	 rhs=6.710937e+10, relative=1.252314e-05.
  itrIdx=146,	residual=8.932167e+05,	 rhs=6.710937e+10, relative=1.330987e-05.
  itrIdx=147,	residual=7.682936e+05,	 rhs=6.710937e+10, relative=1.144838e-05.
Reach rtol=1.000000e-05, the solver exits with residual=6.237116e+05 and iterations=148.
  homoCoeffZ=64.0386
========================================================
Contrast_x,y,z=16  625  10000
