========================================================
Contrast_x,y,z=100  25  4
Get kvals from python.
2.62144e+07  6.5536e+06  1.04858e+06  1.04858e+06  1.04858e+06  2621.44  26214.4  262144  262144  262144  2621.44  655.36  104.858  104.858  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=72,	residual=1.933898e+06,	 rhs=5.964766e+08, relative=3.242202e-03.
  itrIdx=73,	residual=2.630497e+06,	 rhs=5.964766e+08, relative=4.410059e-03.
  itrIdx=74,	residual=2.798461e+06,	 rhs=5.964766e+08, relative=4.691653e-03.
  itrIdx=75,	residual=3.534685e+06,	 rhs=5.964766e+08, relative=5.925941e-03.
  itrIdx=76,	residual=4.151275e+06,	 rhs=5.964766e+08, relative=6.959660e-03.
  itrIdx=77,	residual=2.650698e+06,	 rhs=5.964766e+08, relative=4.443926e-03.
  itrIdx=78,	residual=1.374774e+06,	 rhs=5.964766e+08, relative=2.304825e-03.
  itrIdx=79,	residual=1.075578e+06,	 rhs=5.964766e+08, relative=1.803220e-03.
  itrIdx=80,	residual=1.875474e+06,	 rhs=5.964766e+08, relative=3.144254e-03.
  itrIdx=81,	residual=2.602510e+06,	 rhs=5.964766e+08, relative=4.363138e-03.
  itrIdx=82,	residual=1.567176e+06,	 rhs=5.964766e+08, relative=2.627388e-03.
  itrIdx=83,	residual=1.841238e+06,	 rhs=5.964766e+08, relative=3.086858e-03.
  itrIdx=84,	residual=3.138099e+06,	 rhs=5.964766e+08, relative=5.261059e-03.
  itrIdx=85,	residual=3.776782e+06,	 rhs=5.964766e+08, relative=6.331819e-03.
  itrIdx=86,	residual=2.153960e+06,	 rhs=5.964766e+08, relative=3.611139e-03.
  itrIdx=87,	residual=1.502938e+06,	 rhs=5.964766e+08, relative=2.519693e-03.
  itrIdx=88,	residual=2.044016e+06,	 rhs=5.964766e+08, relative=3.426817e-03.
  itrIdx=89,	residual=1.969945e+06,	 rhs=5.964766e+08, relative=3.302636e-03.
  itrIdx=90,	residual=1.160241e+06,	 rhs=5.964766e+08, relative=1.945157e-03.
  itrIdx=91,	residual=7.146178e+05,	 rhs=5.964766e+08, relative=1.198065e-03.
  itrIdx=92,	residual=9.007853e+05,	 rhs=5.964766e+08, relative=1.510177e-03.
  itrIdx=93,	residual=1.721517e+06,	 rhs=5.964766e+08, relative=2.886144e-03.
  itrIdx=94,	residual=1.481340e+06,	 rhs=5.964766e+08, relative=2.483484e-03.
  itrIdx=95,	residual=1.377736e+06,	 rhs=5.964766e+08, relative=2.309791e-03.
  itrIdx=96,	residual=9.891376e+05,	 rhs=5.964766e+08, relative=1.658301e-03.
  itrIdx=97,	residual=1.018369e+06,	 rhs=5.964766e+08, relative=1.707307e-03.
  itrIdx=98,	residual=1.068272e+06,	 rhs=5.964766e+08, relative=1.790970e-03.
  itrIdx=99,	residual=2.124515e+06,	 rhs=5.964766e+08, relative=3.561774e-03.
  itrIdx=100,	residual=1.801329e+06,	 rhs=5.964766e+08, relative=3.019949e-03.
  itrIdx=101,	residual=1.093384e+06,	 rhs=5.964766e+08, relative=1.833072e-03.
  itrIdx=102,	residual=6.782432e+05,	 rhs=5.964766e+08, relative=1.137083e-03.
  itrIdx=103,	residual=6.765516e+05,	 rhs=5.964766e+08, relative=1.134247e-03.
  itrIdx=104,	residual=1.098305e+06,	 rhs=5.964766e+08, relative=1.841321e-03.
  itrIdx=105,	residual=1.333521e+06,	 rhs=5.964766e+08, relative=2.235664e-03.
  itrIdx=106,	residual=2.172620e+06,	 rhs=5.964766e+08, relative=3.642423e-03.
  itrIdx=107,	residual=2.103255e+06,	 rhs=5.964766e+08, relative=3.526132e-03.
  itrIdx=108,	residual=1.942786e+06,	 rhs=5.964766e+08, relative=3.257103e-03.
  itrIdx=109,	residual=1.402174e+06,	 rhs=5.964766e+08, relative=2.350762e-03.
  itrIdx=110,	residual=1.200036e+06,	 rhs=5.964766e+08, relative=2.011874e-03.
  itrIdx=111,	residual=6.345245e+05,	 rhs=5.964766e+08, relative=1.063788e-03.
  itrIdx=112,	residual=4.536008e+05,	 rhs=5.964766e+08, relative=7.604671e-04.
  itrIdx=113,	residual=4.368215e+05,	 rhs=5.964766e+08, relative=7.323363e-04.
  itrIdx=114,	residual=7.025139e+05,	 rhs=5.964766e+08, relative=1.177773e-03.
  itrIdx=115,	residual=8.765130e+05,	 rhs=5.964766e+08, relative=1.469484e-03.
  itrIdx=116,	residual=9.187151e+05,	 rhs=5.964766e+08, relative=1.540236e-03.
  itrIdx=117,	residual=7.441012e+05,	 rhs=5.964766e+08, relative=1.247494e-03.
  itrIdx=118,	residual=6.224775e+05,	 rhs=5.964766e+08, relative=1.043591e-03.
  itrIdx=119,	residual=6.986772e+05,	 rhs=5.964766e+08, relative=1.171340e-03.
  itrIdx=120,	residual=8.393892e+05,	 rhs=5.964766e+08, relative=1.407246e-03.
  itrIdx=121,	residual=8.157884e+05,	 rhs=5.964766e+08, relative=1.367679e-03.
  itrIdx=122,	residual=5.848805e+05,	 rhs=5.964766e+08, relative=9.805590e-04.
  itrIdx=123,	residual=4.508368e+05,	 rhs=5.964766e+08, relative=7.558332e-04.
  itrIdx=124,	residual=3.807521e+05,	 rhs=5.964766e+08, relative=6.383353e-04.
  itrIdx=125,	residual=5.722376e+05,	 rhs=5.964766e+08, relative=9.593630e-04.
  itrIdx=126,	residual=8.484312e+05,	 rhs=5.964766e+08, relative=1.422405e-03.
  itrIdx=127,	residual=1.113928e+06,	 rhs=5.964766e+08, relative=1.867513e-03.
  itrIdx=128,	residual=1.184810e+06,	 rhs=5.964766e+08, relative=1.986348e-03.
  itrIdx=129,	residual=1.008894e+06,	 rhs=5.964766e+08, relative=1.691422e-03.
  itrIdx=130,	residual=6.735740e+05,	 rhs=5.964766e+08, relative=1.129255e-03.
  itrIdx=131,	residual=4.493123e+05,	 rhs=5.964766e+08, relative=7.532772e-04.
  itrIdx=132,	residual=3.082074e+05,	 rhs=5.964766e+08, relative=5.167132e-04.
  itrIdx=133,	residual=3.439766e+05,	 rhs=5.964766e+08, relative=5.766807e-04.
  itrIdx=134,	residual=2.989915e+05,	 rhs=5.964766e+08, relative=5.012628e-04.
  itrIdx=135,	residual=4.146062e+05,	 rhs=5.964766e+08, relative=6.950921e-04.
  itrIdx=136,	residual=4.875354e+05,	 rhs=5.964766e+08, relative=8.173588e-04.
  itrIdx=137,	residual=6.331246e+05,	 rhs=5.964766e+08, relative=1.061441e-03.
  itrIdx=138,	residual=6.781489e+05,	 rhs=5.964766e+08, relative=1.136925e-03.
  itrIdx=139,	residual=8.446742e+05,	 rhs=5.964766e+08, relative=1.416106e-03.
  itrIdx=140,	residual=6.839513e+05,	 rhs=5.964766e+08, relative=1.146652e-03.
  itrIdx=141,	residual=5.922931e+05,	 rhs=5.964766e+08, relative=9.929863e-04.
  itrIdx=142,	residual=5.420339e+05,	 rhs=5.964766e+08, relative=9.087261e-04.
  itrIdx=143,	residual=5.353154e+05,	 rhs=5.964766e+08, relative=8.974625e-04.
  itrIdx=144,	residual=4.593549e+05,	 rhs=5.964766e+08, relative=7.701138e-04.
  itrIdx=145,	residual=4.804156e+05,	 rhs=5.964766e+08, relative=8.054224e-04.
  itrIdx=146,	residual=5.471300e+05,	 rhs=5.964766e+08, relative=9.172699e-04.
  itrIdx=147,	residual=5.226793e+05,	 rhs=5.964766e+08, relative=8.762780e-04.
  itrIdx=148,	residual=5.091874e+05,	 rhs=5.964766e+08, relative=8.536586e-04.
  itrIdx=149,	residual=3.995795e+05,	 rhs=5.964766e+08, relative=6.698997e-04.
  itrIdx=150,	residual=3.332740e+05,	 rhs=5.964766e+08, relative=5.587377e-04.
  itrIdx=151,	residual=2.770181e+05,	 rhs=5.964766e+08, relative=4.644241e-04.
  itrIdx=152,	residual=4.214165e+05,	 rhs=5.964766e+08, relative=7.065096e-04.
  itrIdx=153,	residual=5.265026e+05,	 rhs=5.964766e+08, relative=8.826878e-04.
  itrIdx=154,	residual=5.053299e+05,	 rhs=5.964766e+08, relative=8.471914e-04.
  itrIdx=155,	residual=3.036814e+05,	 rhs=5.964766e+08, relative=5.091255e-04.
  itrIdx=156,	residual=2.153385e+05,	 rhs=5.964766e+08, relative=3.610176e-04.
  itrIdx=157,	residual=1.457976e+05,	 rhs=5.964766e+08, relative=2.444314e-04.
  itrIdx=158,	residual=1.476942e+05,	 rhs=5.964766e+08, relative=2.476110e-04.
  itrIdx=159,	residual=2.209103e+05,	 rhs=5.964766e+08, relative=3.703587e-04.
