========================================================
Contrast_x,y,z=2  5  10
Get kvals from python.
524288  1.31072e+06  2.62144e+06  2.62144e+06  2.62144e+06  2621.44  26214.4  262144  262144  262144  2621.44  6553.6  13107.2  13107.2  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
Contrast_x,y,z=8  125  1000
Get kvals from python.
2.09715e+06  3.2768e+07  2.62144e+08  2.62144e+08  2.62144e+08  2621.44  26214.4  262144  262144  262144  1677.72  26214.4  209715  209715  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=1.318128e+10,	 rhs=6.710937e+10, relative=1.964149e-01.
  itrIdx=2,	residual=7.193670e+09,	 rhs=6.710937e+10, relative=1.071932e-01.
  itrIdx=3,	residual=4.313431e+09,	 rhs=6.710937e+10, relative=6.427465e-02.
  itrIdx=4,	residual=3.764392e+09,	 rhs=6.710937e+10, relative=5.609339e-02.
  itrIdx=5,	residual=1.725387e+09,	 rhs=6.710937e+10, relative=2.571008e-02.
  itrIdx=6,	residual=1.287493e+09,	 rhs=6.710937e+10, relative=1.918499e-02.
  itrIdx=7,	residual=9.676398e+08,	 rhs=6.710937e+10, relative=1.441885e-02.
  itrIdx=8,	residual=1.169365e+09,	 rhs=6.710937e+10, relative=1.742476e-02.
  itrIdx=9,	residual=9.282723e+08,	 rhs=6.710937e+10, relative=1.383223e-02.
  itrIdx=10,	residual=8.012098e+08,	 rhs=6.710937e+10, relative=1.193887e-02.
  itrIdx=11,	residual=7.305532e+08,	 rhs=6.710937e+10, relative=1.088601e-02.
  itrIdx=12,	residual=5.804373e+08,	 rhs=6.710937e+10, relative=8.649125e-03.
  itrIdx=13,	residual=6.274062e+08,	 rhs=6.710937e+10, relative=9.349011e-03.
  itrIdx=14,	residual=9.081596e+08,	 rhs=6.710937e+10, relative=1.353253e-02.
  itrIdx=15,	residual=1.281765e+09,	 rhs=6.710937e+10, relative=1.909964e-02.
  itrIdx=16,	residual=1.639015e+09,	 rhs=6.710937e+10, relative=2.442304e-02.
  itrIdx=17,	residual=1.788464e+09,	 rhs=6.710937e+10, relative=2.664999e-02.
  itrIdx=18,	residual=1.487769e+09,	 rhs=6.710937e+10, relative=2.216933e-02.
  itrIdx=19,	residual=8.691196e+08,	 rhs=6.710937e+10, relative=1.295079e-02.
  itrIdx=20,	residual=5.870669e+08,	 rhs=6.710937e+10, relative=8.747913e-03.
  itrIdx=21,	residual=5.422888e+08,	 rhs=6.710937e+10, relative=8.080672e-03.
  itrIdx=22,	residual=4.022259e+08,	 rhs=6.710937e+10, relative=5.993588e-03.
  itrIdx=23,	residual=3.278944e+08,	 rhs=6.710937e+10, relative=4.885971e-03.
  itrIdx=24,	residual=3.003877e+08,	 rhs=6.710937e+10, relative=4.476093e-03.
  itrIdx=25,	residual=2.211082e+08,	 rhs=6.710937e+10, relative=3.294744e-03.
  itrIdx=26,	residual=1.648154e+08,	 rhs=6.710937e+10, relative=2.455923e-03.
  itrIdx=27,	residual=9.481752e+07,	 rhs=6.710937e+10, relative=1.412881e-03.
  itrIdx=28,	residual=9.469919e+07,	 rhs=6.710937e+10, relative=1.411117e-03.
  itrIdx=29,	residual=7.798770e+07,	 rhs=6.710937e+10, relative=1.162099e-03.
  itrIdx=30,	residual=1.130005e+08,	 rhs=6.710937e+10, relative=1.683826e-03.
  itrIdx=31,	residual=1.479689e+08,	 rhs=6.710937e+10, relative=2.204892e-03.
  itrIdx=32,	residual=1.867248e+08,	 rhs=6.710937e+10, relative=2.782396e-03.
  itrIdx=33,	residual=1.625746e+08,	 rhs=6.710937e+10, relative=2.422532e-03.
  itrIdx=34,	residual=1.335250e+08,	 rhs=6.710937e+10, relative=1.989662e-03.
  itrIdx=35,	residual=1.021221e+08,	 rhs=6.710937e+10, relative=1.521726e-03.
  itrIdx=36,	residual=7.012281e+07,	 rhs=6.710937e+10, relative=1.044904e-03.
  itrIdx=37,	residual=7.387445e+07,	 rhs=6.710937e+10, relative=1.100807e-03.
  itrIdx=38,	residual=7.123487e+07,	 rhs=6.710937e+10, relative=1.061474e-03.
  itrIdx=39,	residual=6.054158e+07,	 rhs=6.710937e+10, relative=9.021331e-04.
  itrIdx=40,	residual=4.133097e+07,	 rhs=6.710937e+10, relative=6.158748e-04.
  itrIdx=41,	residual=3.577245e+07,	 rhs=6.710937e+10, relative=5.330470e-04.
  itrIdx=42,	residual=2.720531e+07,	 rhs=6.710937e+10, relative=4.053877e-04.
