========================================================
Contrast_x,y,z=4  25  100
Get kvals from python.
1.04858e+06  6.5536e+06  2.62144e+07  2.62144e+07  2.62144e+07  2621.44  26214.4  262144  262144  262144  2621.44  16384  65536  65536  262144  
Use the following reference parameters:
2621.44  16384  65536  65536  262144  
GPU solver with FCT preconditioner.
  itrIdx=63,	residual=2.274049e+07,	 rhs=6.710937e+10, relative=3.388572e-04.
  itrIdx=64,	residual=2.791579e+07,	 rhs=6.710937e+10, relative=4.159746e-04.
  itrIdx=65,	residual=1.938349e+07,	 rhs=6.710937e+10, relative=2.888344e-04.
  itrIdx=66,	residual=1.730230e+07,	 rhs=6.710937e+10, relative=2.578225e-04.
  itrIdx=67,	residual=1.396207e+07,	 rhs=6.710937e+10, relative=2.080495e-04.
  itrIdx=68,	residual=1.773778e+07,	 rhs=6.710937e+10, relative=2.643116e-04.
  itrIdx=69,	residual=1.335827e+07,	 rhs=6.710937e+10, relative=1.990523e-04.
  itrIdx=70,	residual=7.255453e+06,	 rhs=6.710937e+10, relative=1.081139e-04.
  itrIdx=71,	residual=1.204929e+07,	 rhs=6.710937e+10, relative=1.795470e-04.
  itrIdx=72,	residual=9.806103e+06,	 rhs=6.710937e+10, relative=1.461212e-04.
  itrIdx=73,	residual=5.438324e+06,	 rhs=6.710937e+10, relative=8.103674e-05.
  itrIdx=74,	residual=6.537597e+06,	 rhs=6.710937e+10, relative=9.741706e-05.
  itrIdx=75,	residual=6.339414e+06,	 rhs=6.710937e+10, relative=9.446392e-05.
  itrIdx=76,	residual=5.041346e+06,	 rhs=6.710937e+10, relative=7.512135e-05.
  itrIdx=77,	residual=3.615967e+06,	 rhs=6.710937e+10, relative=5.388171e-05.
  itrIdx=78,	residual=3.381189e+06,	 rhs=6.710937e+10, relative=5.038326e-05.
  itrIdx=79,	residual=4.611556e+06,	 rhs=6.710937e+10, relative=6.871702e-05.
  itrIdx=80,	residual=2.677284e+06,	 rhs=6.710937e+10, relative=3.989434e-05.
  itrIdx=81,	residual=2.043237e+06,	 rhs=6.710937e+10, relative=3.044638e-05.
  itrIdx=82,	residual=3.405585e+06,	 rhs=6.710937e+10, relative=5.074679e-05.
  itrIdx=83,	residual=2.192869e+06,	 rhs=6.710937e+10, relative=3.267605e-05.
