========================================================
Contrast_x,y,z=100  25  4
Get kvals from python.
2.62144e+07  6.5536e+06  1.04858e+06  1.04858e+06  1.04858e+06  2621.44  26214.4  262144  262144  262144  2621.44  655.36  104.858  104.858  262144  
Use the following reference parameters:
2621.44  655.36  104.858  104.858  262144  
GPU solver with FCT preconditioner.
  itrIdx=146,	residual=8.067745e+03,	 rhs=3.736463e+08, relative=2.159193e-05.
  itrIdx=147,	residual=8.908499e+03,	 rhs=3.736463e+08, relative=2.384206e-05.
  itrIdx=148,	residual=7.811086e+03,	 rhs=3.736463e+08, relative=2.090502e-05.
  itrIdx=149,	residual=7.658725e+03,	 rhs=3.736463e+08, relative=2.049726e-05.
  itrIdx=150,	residual=8.438173e+03,	 rhs=3.736463e+08, relative=2.258331e-05.
  itrIdx=151,	residual=7.362657e+03,	 rhs=3.736463e+08, relative=1.970488e-05.
  itrIdx=152,	residual=7.720165e+03,	 rhs=3.736463e+08, relative=2.066169e-05.
  itrIdx=153,	residual=7.599014e+03,	 rhs=3.736463e+08, relative=2.033745e-05.
  itrIdx=154,	residual=7.282715e+03,	 rhs=3.736463e+08, relative=1.949093e-05.
  itrIdx=155,	residual=7.496850e+03,	 rhs=3.736463e+08, relative=2.006403e-05.
  itrIdx=156,	residual=7.511832e+03,	 rhs=3.736463e+08, relative=2.010412e-05.
  itrIdx=157,	residual=7.077982e+03,	 rhs=3.736463e+08, relative=1.894300e-05.
  itrIdx=158,	residual=7.061703e+03,	 rhs=3.736463e+08, relative=1.889943e-05.
  itrIdx=159,	residual=7.652188e+03,	 rhs=3.736463e+08, relative=2.047976e-05.
  itrIdx=160,	residual=7.125292e+03,	 rhs=3.736463e+08, relative=1.906961e-05.
  itrIdx=161,	residual=7.282851e+03,	 rhs=3.736463e+08, relative=1.949129e-05.
  itrIdx=162,	residual=6.884573e+03,	 rhs=3.736463e+08, relative=1.842537e-05.
  itrIdx=163,	residual=6.954706e+03,	 rhs=3.736463e+08, relative=1.861307e-05.
  itrIdx=164,	residual=6.983703e+03,	 rhs=3.736463e+08, relative=1.869068e-05.
  itrIdx=165,	residual=7.048406e+03,	 rhs=3.736463e+08, relative=1.886384e-05.
  itrIdx=166,	residual=6.849689e+03,	 rhs=3.736463e+08, relative=1.833201e-05.
  itrIdx=167,	residual=6.620494e+03,	 rhs=3.736463e+08, relative=1.771861e-05.
  itrIdx=168,	residual=6.467992e+03,	 rhs=3.736463e+08, relative=1.731047e-05.
  itrIdx=169,	residual=6.519294e+03,	 rhs=3.736463e+08, relative=1.744777e-05.
  itrIdx=170,	residual=6.862478e+03,	 rhs=3.736463e+08, relative=1.836624e-05.
  itrIdx=171,	residual=6.106716e+03,	 rhs=3.736463e+08, relative=1.634357e-05.
  itrIdx=172,	residual=6.352280e+03,	 rhs=3.736463e+08, relative=1.700078e-05.
  itrIdx=173,	residual=6.426318e+03,	 rhs=3.736463e+08, relative=1.719893e-05.
